City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ribeira Grande,PT,2020-06-17 00:30:52,38.52,-28.7,64.71,90,54,18.72
70,Margate,GB,2020-06-17 00:28:22,51.38,1.39,59.0,85,42,1.01
71,Nouadhibou,MR,2020-06-17 00:30:53,20.93,-17.03,78.17,52,0,25.48
72,Juneau,US,2020-06-17 00:27:06,58.3,-134.42,53.01,93,90,6.93
73,Erzin,TR,2020-06-17 00:30:54,36.96,36.2,71.01,85,0,0.25
74,Georgetown,MY,2020-06-17 00:30:54,5.41,100.34,80.6,94,20,3.36
75,Bredasdorp,ZA,2020-06-17 00:30:54,-34.53,20.04,44.6,93,0,3.78
76,Butembo,CD,2020-06-17 00:30:54,0.15,29.28,55.63,98,85,2.95
77,Calafell,ES,2020-06-17 00:30:55,41.2,1.57,64.0,83,35,4.36
78,Bloomington,US,2020-06-17 00:27:38,44.84,-93.3,87.8,38,1,19.46
79,Guerrero Negro,MX,2020-06-17 00:30:55,27.98,-114.06,68.52,69,0,17.11
80,Unity,CA,2020-06-17 00:30:55,52.45,-109.17,72.0,43,100,4.0
81,Tefe,BR,2020-06-17 00:30:56,-3.35,-64.71,75.18,90,36,0.58
82,Hasaki,JP,2020-06-17 00:30:56,35.73,140.83,78.01,60,40,6.93
83,Iqaluit,CA,2020-06-17 00:30:56,63.75,-68.51,37.4,74,90,4.7
84,Port Hedland,AU,2020-06-17 00:30:56,-20.32,118.57,69.8,56,0,5.82
85,Baykit,RU,2020-06-17 00:30:46,61.67,96.37,53.96,52,100,6.29
86,Lebu,CL,2020-06-17 00:30:57,-37.62,-73.65,53.06,91,100,11.88
87,Zheleznodorozhnyy,RU,2020-06-17 00:30:57,55.75,38.0,70.0,82,45,4.47
88,Clyde River,CA,2020-06-17 00:30:57,70.47,-68.59,39.2,69,75,2.24
89,Mata,PT,2020-06-17 00:30:57,40.68,-7.46,50.0,85,98,4.25
90,El Corpus,HN,2020-06-17 00:30:57,14.7,-88.92,71.29,88,100,2.28
91,Mahebourg,MU,2020-06-17 00:30:58,-20.41,57.7,69.8,83,40,13.87
92,Adrar,MR,2020-06-17 00:30:58,20.5,-10.07,97.65,18,0,21.99
93,Lafiagi,NG,2020-06-17 00:30:58,8.87,5.42,77.85,89,100,5.03
94,Khatanga,RU,2020-06-17 00:30:58,71.97,102.5,51.15,47,100,7.05
95,Aklavik,CA,2020-06-17 00:30:59,68.22,-135.01,68.0,42,75,4.7
96,Vaini,TO,2020-06-17 00:29:59,-21.2,-175.2,77.0,65,20,11.41
97,La Ronge,CA,2020-06-17 00:30:59,55.1,-105.28,75.2,36,40,9.17
98,Gamba,GA,2020-06-17 00:30:59,-2.65,10.0,73.02,92,100,5.61
99,Rio Gallegos,AR,2020-06-17 00:31:00,-51.62,-69.22,30.2,92,0,12.75
100,Chapleau,CA,2020-06-17 00:31:00,47.84,-83.4,75.2,27,75,10.29
101,Staroye Drozhzhanoye,RU,2020-06-17 00:31:00,54.73,47.57,57.9,93,84,8.9
102,Borogontsy,RU,2020-06-17 00:31:00,62.67,131.17,75.07,36,2,8.05
103,Oxbow,CA,2020-06-17 00:26:43,49.23,-102.17,81.0,61,85,10.0
104,Houma,US,2020-06-17 00:31:01,29.6,-90.72,87.01,66,75,8.05
105,Cap Malheureux,MU,2020-06-17 00:31:01,-19.98,57.61,69.8,83,40,13.87
106,Hilo,US,2020-06-17 00:29:48,19.73,-155.09,77.0,73,90,10.29
107,Upernavik,GL,2020-06-17 00:28:52,72.79,-56.15,32.07,94,76,3.91
108,Hami,CN,2020-06-17 00:31:02,42.8,93.45,85.77,13,0,10.07
109,Atuona,PF,2020-06-17 00:31:02,-9.8,-139.03,80.29,76,13,19.33
110,Fortuna,US,2020-06-17 00:31:02,40.6,-124.16,64.99,59,20,13.87
111,Mandalgovi,MN,2020-06-17 00:31:03,45.76,106.27,62.13,61,0,22.28
112,Dingle,PH,2020-06-17 00:30:57,11.0,122.67,85.8,65,100,5.17
113,Oussouye,SN,2020-06-17 00:31:03,12.48,-16.55,82.4,88,40,6.93
114,Tilichiki,RU,2020-06-17 00:31:03,60.47,166.1,51.28,64,4,6.73
115,Hovd,MN,2020-06-17 00:31:03,48.01,91.64,67.19,36,31,2.86
116,Novovarshavka,RU,2020-06-17 00:31:04,54.17,74.69,54.45,76,0,6.53
117,Bagaha,IN,2020-06-17 00:31:04,27.1,84.08,79.27,89,99,9.75
118,Kapaa,US,2020-06-17 00:31:04,22.08,-159.32,84.2,66,75,14.99
119,Hobart,AU,2020-06-17 00:29:09,-42.88,147.33,46.99,65,20,9.17
120,Port Moresby,PG,2020-06-17 00:27:52,-9.44,147.18,76.64,87,100,8.88
121,Harper,LR,2020-06-17 00:30:20,4.38,-7.72,77.5,88,100,11.18
122,Provideniya,RU,2020-06-17 00:31:05,64.38,-173.3,53.6,66,20,11.18
123,Asau,RO,2020-06-17 00:31:06,46.43,26.4,63.0,100,100,3.4
124,Arraial Do Cabo,BR,2020-06-17 00:31:06,-22.97,-42.03,69.89,75,34,15.46
125,Barrow,US,2020-06-17 00:30:47,71.29,-156.79,41.0,75,20,18.34
126,Tasiilaq,GL,2020-06-17 00:31:06,65.61,-37.64,37.4,94,100,20.8
127,Nelson Bay,AU,2020-06-17 00:29:59,-32.72,152.15,61.0,67,75,17.22
128,Marsabit,KE,2020-06-17 00:31:07,2.33,37.99,60.84,89,62,18.37
129,Baker City,US,2020-06-17 00:31:07,44.77,-117.83,55.4,50,75,17.22
130,Manat,PH,2020-06-17 00:31:07,7.53,126.02,80.6,88,40,2.24
131,Salinopolis,BR,2020-06-17 00:31:08,-0.61,-47.36,79.03,84,22,11.07
132,Villa Maria,AR,2020-06-17 00:31:08,-32.41,-63.24,70.0,78,100,1.99
133,Husavik,IS,2020-06-17 00:31:03,66.04,-17.34,46.4,75,75,133.55
134,Kisanga,TZ,2020-06-17 00:31:08,-7.44,37.7,65.12,65,0,4.63
