City_ID,City,Lat,Lng,Max Temp,Weather Description,Rain,Snow,Humidity,Cloudiness,Wind Speed,Country,Date
54,Lavrentiya,65.58,-171.0,54.34,overcast clouds,0.0,0,57,94,2.08,RU,2020-06-19 01:47:55
55,Georgetown,5.41,100.34,82.4,light rain,0.0,0,100,20,4.7,MY,2020-06-19 01:45:12
56,Karaikkudi,10.07,78.78,86.85,overcast clouds,0.0,0,55,100,4.0,IN,2020-06-19 01:47:55
57,Guarapari,-20.67,-40.5,66.99,clear sky,0.0,0,93,8,5.06,BR,2020-06-19 01:47:49
58,Bloomfield,40.81,-74.19,73.4,clear sky,0.0,0,78,1,4.7,US,2020-06-19 01:47:55
59,Albany,42.6,-73.97,77.0,broken clouds,0.0,0,83,61,4.05,US,2020-06-19 01:42:58
60,Husavik,66.04,-17.34,46.4,clear sky,0.0,0,81,0,16.11,IS,2020-06-19 01:45:03
61,Kaeo,-35.1,173.78,61.0,broken clouds,0.0,0,28,78,8.01,NZ,2020-06-19 01:47:56
62,Khatanga,71.97,102.5,55.36,broken clouds,0.0,0,54,62,13.8,RU,2020-06-19 01:47:56
63,Bengkulu,-3.8,102.27,80.33,overcast clouds,0.0,0,77,100,2.98,ID,2020-06-19 01:45:55
64,Nemuro,43.32,145.57,55.4,light intensity shower rain,0.0,0,100,75,5.82,JP,2020-06-19 01:47:56
65,Tuatapere,-46.13,167.68,44.42,clear sky,0.0,0,61,0,1.57,NZ,2020-06-19 01:47:56
66,Mount Isa,-20.73,139.5,75.2,clear sky,0.0,0,53,0,11.41,AU,2020-06-19 01:47:57
67,San Onofre,9.74,-75.53,78.67,scattered clouds,0.0,0,89,35,4.94,CO,2020-06-19 01:47:57
68,Taltal,-25.4,-70.48,59.14,broken clouds,0.0,0,65,63,5.32,CL,2020-06-19 01:47:57
69,Coihaique,-45.58,-72.07,41.0,few clouds,0.0,0,86,20,4.7,CL,2020-06-19 01:47:57
70,Marion,39.77,-86.16,80.6,broken clouds,0.0,0,47,75,5.82,US,2020-06-19 01:46:18
71,Dong Hoi,17.48,106.6,87.91,scattered clouds,0.0,0,62,42,8.14,VN,2020-06-19 01:43:41
72,Carnarvon,-24.87,113.63,62.6,clear sky,0.0,0,67,0,11.41,AU,2020-06-19 01:43:20
73,Vestmannaeyjar,63.44,-20.27,48.49,broken clouds,0.0,0,78,81,15.9,IS,2020-06-19 01:47:58
74,Ribeira Grande,38.52,-28.7,64.35,scattered clouds,0.0,0,90,43,8.95,PT,2020-06-19 01:47:59
